manual_rating,domain,visit_count,sample_url,sample_title
Always Distracted,instagram.com,268,https://www.instagram.com/accounts/login/,
Mostly Distracted,underarmour.ca,263,https://www.underarmour.ca/en-ca/c/mens/clothing/swimsuits/,
Always Intentional,ca.bbcollab.com,224,https://ca.bbcollab.com/collab/ui/session/playback,
Neutrel,login.microsoftonline.com,221,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=19db86c3-b2b9-44cc-b339-36da233a3be2&redirect_uri=https%3A%2F%2Fmysignins.microsoft.com&scope=openid+profile+email+offline_access&response_type=code&response_mode=fragment&code_challenge=SyyIKw0QybtEFXuk_kUgPQmldQjDhsQHumQZbmodBa4&code_challenge_method=S256&state=c006e636-8327-47cb-a990-cf596d1a9b63,
Always Intentional,myinvolvement.sfu.ca,216,https://myinvolvement.sfu.ca/,
Neutrel,onlineservices-servicesenligne.cic.gc.ca,213,https://onlineservices-servicesenligne.cic.gc.ca/auth/Consumer/metaAlias/sp,
Neutrel,surprisingarsonistcooperate.com,211,https://surprisingarsonistcooperate.com/z31h0b2p?key=9ca601a9f47c735df76d5ca46fa26a66&submetric=16485072,
Mostly Intentional,ais.usvisa-info.com,206,https://ais.usvisa-info.com/en-ca/niv,
Neutrel,internet-safe.com,202,https://internet-safe.com/MACE-03-02-b72QFwKeRMtHXETTKQRVRAep/error.html?prod=McAfee&xe=aHR0cHM6Ly9lb21zZXkuZGltdXJxLmNvbS9yZWRpcmVjdD9sPWFIUjBjSE02THk5eWJYVjBMV2RzYnk1d1lYSjBibVZ5YzJocGNIZGxZaTVqYjIwdmRDOWpiR3N-YVdROWJGSnZTbWx2UkRCMVowNDVXbFEyYkd0TGN6SW1jekk5TldWaFltUXpPR0V0WkdRNE5DMDBNekJoTFdKa1lqa3RaV1l6WkdRM05EbGxZVEkzSm5NeFBUVXlPRGs1TXdfXyZ0PTE2NDA1OTI2ODMmaD03OGI4NjMzYzUxNzM4ZTVhYjEwYzQ2ZTBmOGMxYzBjZQ__&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTY0MDU5MTM2M319fV19&Key-Pair-Id=APKAIVB2XEI4JJOOG6RA&Signature=e1w8m402wXOg1nLj7RMzCwIaKIXjYkQBF9Tf3Jjn7M5mPF6Zn8WHXZaiZwSje9dCZ5X-kUaIQde-flYCV9nMLKzttqI1yCwunzae5rxMZ9SCz-lfiDQcYSAVm2zJ5JoSchbEDawzMA8taLCQTNcOKnWd0oG3tB14RlNuPeSz0qehHD5ZhLJQSFOuRqPKGr4i0BcPYInbOpFQ8t6U2phlLrMWN6lqwqtVN5J5dtefoeXbJ1ewfasur1eAKPHLyTw8RfvWR5-mdaTgg-qNKaoZke7s0A434iiPmOhyngPCZAcJxnEI3IIWRckKXys6TAw5q2cwDBFiD3yF-MrPtonkZA__,
Mostly Intentional,idp.sfu.ca,198,https://idp.sfu.ca/idp/profile/SAML2/Redirect/SSO?execution=e1s1&_eventId_proceed=1,
Mostly Intentional,pinterest.ca,196,https://www.pinterest.ca/pin/761671355708257440/,
Always Intentional,athleticsandrecreation.its.sfu.ca,195,https://athleticsandrecreation.its.sfu.ca/,
